"basilique du sacré-cœur,parc du champ de mars,place de la concorde,jardin des tuileries,eiffel tower","church,park,establishment,park,establishment"
arc de triomphe,establishment
"sainte chapelle,eiffel tower,panthéon,arc de triomphe","church,establishment,establishment,establishment"
"sainte chapelle,place de la concorde,musée dorsay,place vendôme,eiffel tower","church,establishment,museum,route,establishment"
eiffel tower,establishment
eiffel tower,establishment
arc de triomphe,establishment
eiffel tower,establishment
eiffel tower,establishment
"basilique du sacré-cœur,musée dart naïf max fourny,eiffel tower,musée de montmartre,place du tertre,arc de triomphe","church,museum,establishment,museum,route,establishment"
eiffel tower,establishment
"institut du monde arabe,basilique du sacré-cœur,place de la concorde,eiffel tower,arc de triomphe,musée de lÉrotisme","library,church,establishment,establishment,establishment,museum"
"la seine,musée carnavalet","political,museum"
eiffel tower,establishment
musée de la monnaie de paris,museum
eiffel tower,establishment
centre pompidou,museum
"petit palais,jardin du palais royal","museum,park"
stade de france,establishment
"panthéon,place de la bastille,gare montparnasse","establishment,route,transit_station"
"sainte chapelle,basilique du sacré-cœur,musée rodin,place de la concorde,musée dart naïf max fourny,arc de triomphe du carrousel,place de la madeleine,eiffel tower,musée de montmartre","church,church,museum,establishment,museum,establishment,route,establishment,museum"
"hôtel des invalides,panthéon,arc de triomphe du carrousel,grande arche de la défense,eiffel tower,arc de triomphe","museum,establishment,establishment,establishment,establishment,establishment"
cité de la musique,museum
"hôtel des invalides,sainte chapelle,musée rodin,conciergerie,place de la concorde,musée dorsay,eiffel tower,pont neuf,arc de triomphe","museum,church,museum,museum,establishment,museum,establishment,establishment,establishment"
"basilique du sacré-cœur,eiffel tower,av des champs-Élysées,arc de triomphe,musée de lÉrotisme","church,establishment,route,establishment,museum"
"musée des arts et métiers,eiffel tower","museum,establishment"
musée dorsay,museum
"eiffel tower,place de la concorde","establishment,establishment"
eiffel tower,establishment
"panthéon,centre pompidou,cité de la musique,parc de bercy,musée du quai branly,la seine,place de la bastille,musée du louvre,parc de belleville,grande arche de la défense,eiffel tower,place vendôme,palais de tokyo,champs-Élysées,parc de la villette","establishment,museum,museum,park,museum,political,route,museum,park,establishment,establishment,route,museum,route,park"
"place de la concorde,place de la bastille,jardin du luxembourg","establishment,route,park"
"musée dart moderne de la ville de paris,eiffel tower,palais de tokyo,av des champs-Élysées,arc de triomphe","museum,establishment,museum,route,establishment"
forum des halles,political
"eiffel tower,arc de triomphe,place de la concorde","establishment,establishment,establishment"
"eiffel tower,arc de triomphe","establishment,establishment"
"musée dart moderne de la ville de paris,musée des Égouts de paris,eiffel tower,palais de tokyo,cinémathèque française,arc de triomphe","museum,museum,establishment,museum,movie_theater,establishment"
sainte chapelle,church
basilique du sacré-cœur,church
eiffel tower,establishment
palais de tokyo,museum
